repo deepseek-ai/DeepSeek-V3.1 @ c0781d039fb7a1ba2abc4add0bdc293e92d2b8db (177 files)
  aux config.json (1686 B)
  aux generation_config.json (171 B)
  aux tokenizer.json (7847578 B)
  aux tokenizer_config.json (3744 B)
  aux model.safetensors.index.json (8898324 B)
  shard model-00062-of-000163.safetensors: 4302350602 B, header 74274 B, 576 tensors, 0 B unclaimed
  shard model-00063-of-000163.safetensors: 4302384710 B, header 75838 B, 586 tensors, 0 B unclaimed
  shard model-00064-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00065-of-000163.safetensors: 4302350432 B, header 74104 B, 576 tensors, 0 B unclaimed
  shard model-00066-of-000163.safetensors: 4302384900 B, header 76028 B, 586 tensors, 0 B unclaimed
  shard model-00067-of-000163.safetensors: 4302350808 B, header 74480 B, 576 tensors, 0 B unclaimed
  shard model-00068-of-000163.safetensors: 4302384504 B, header 75632 B, 586 tensors, 0 B unclaimed
  shard model-00069-of-000163.safetensors: 4302384961 B, header 76089 B, 586 tensors, 0 B unclaimed
  shard model-00070-of-000163.safetensors: 4302350620 B, header 74292 B, 576 tensors, 0 B unclaimed
  shard model-00071-of-000163.safetensors: 4302384692 B, header 75820 B, 586 tensors, 0 B unclaimed
  shard model-00072-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00073-of-000163.safetensors: 4302350448 B, header 74120 B, 576 tensors, 0 B unclaimed
  shard model-00074-of-000163.safetensors: 4302384884 B, header 76012 B, 586 tensors, 0 B unclaimed
  shard model-00075-of-000163.safetensors: 4302350824 B, header 74496 B, 576 tensors, 0 B unclaimed
  shard model-00076-of-000163.safetensors: 4302384488 B, header 75616 B, 586 tensors, 0 B unclaimed
  shard model-00077-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00078-of-000163.safetensors: 1747417474 B, header 31098 B, 241 tensors, 0 B unclaimed
  shard model-00079-of-000163.safetensors: 4302317817 B, header 73745 B, 573 tensors, 0 B unclaimed
  shard model-00080-of-000163.safetensors: 4302384914 B, header 76042 B, 586 tensors, 0 B unclaimed
  shard model-00081-of-000163.safetensors: 4302350794 B, header 74466 B, 576 tensors, 0 B unclaimed
  shard model-00082-of-000163.safetensors: 4302384518 B, header 75646 B, 586 tensors, 0 B unclaimed
  shard model-00083-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00084-of-000163.safetensors: 4302350602 B, header 74274 B, 576 tensors, 0 B unclaimed
  shard model-00085-of-000163.safetensors: 4302384710 B, header 75838 B, 586 tensors, 0 B unclaimed
  shard model-00086-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00087-of-000163.safetensors: 4302350432 B, header 74104 B, 576 tensors, 0 B unclaimed
  shard model-00088-of-000163.safetensors: 4302384900 B, header 76028 B, 586 tensors, 0 B unclaimed
  shard model-00089-of-000163.safetensors: 4302350808 B, header 74480 B, 576 tensors, 0 B unclaimed
  shard model-00090-of-000163.safetensors: 4302384504 B, header 75632 B, 586 tensors, 0 B unclaimed
  shard model-00091-of-000163.safetensors: 4302384961 B, header 76089 B, 586 tensors, 0 B unclaimed
  shard model-00092-of-000163.safetensors: 4302350620 B, header 74292 B, 576 tensors, 0 B unclaimed
  shard model-00093-of-000163.safetensors: 4302384692 B, header 75820 B, 586 tensors, 0 B unclaimed
  shard model-00094-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00095-of-000163.safetensors: 4302350448 B, header 74120 B, 576 tensors, 0 B unclaimed
  shard model-00096-of-000163.safetensors: 4302384884 B, header 76012 B, 586 tensors, 0 B unclaimed
  shard model-00097-of-000163.safetensors: 4302350824 B, header 74496 B, 576 tensors, 0 B unclaimed
  shard model-00098-of-000163.safetensors: 4302384488 B, header 75616 B, 586 tensors, 0 B unclaimed
  shard model-00099-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00100-of-000163.safetensors: 1747417474 B, header 31098 B, 241 tensors, 0 B unclaimed
  shard model-00101-of-000163.safetensors: 4302317817 B, header 73745 B, 573 tensors, 0 B unclaimed
  shard model-00102-of-000163.safetensors: 4302384914 B, header 76042 B, 586 tensors, 0 B unclaimed
  shard model-00103-of-000163.safetensors: 4302350794 B, header 74466 B, 576 tensors, 0 B unclaimed
  shard model-00104-of-000163.safetensors: 4302384518 B, header 75646 B, 586 tensors, 0 B unclaimed
  shard model-00105-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00106-of-000163.safetensors: 4302350602 B, header 74274 B, 576 tensors, 0 B unclaimed
  shard model-00107-of-000163.safetensors: 4302384710 B, header 75838 B, 586 tensors, 0 B unclaimed
  shard model-00108-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00109-of-000163.safetensors: 4302350432 B, header 74104 B, 576 tensors, 0 B unclaimed
  shard model-00110-of-000163.safetensors: 4302384900 B, header 76028 B, 586 tensors, 0 B unclaimed
  shard model-00111-of-000163.safetensors: 4302350808 B, header 74480 B, 576 tensors, 0 B unclaimed
  shard model-00112-of-000163.safetensors: 4302384504 B, header 75632 B, 586 tensors, 0 B unclaimed
  shard model-00113-of-000163.safetensors: 4302384961 B, header 76089 B, 586 tensors, 0 B unclaimed
  shard model-00114-of-000163.safetensors: 4302350620 B, header 74292 B, 576 tensors, 0 B unclaimed
  shard model-00115-of-000163.safetensors: 4302384692 B, header 75820 B, 586 tensors, 0 B unclaimed
  shard model-00116-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00117-of-000163.safetensors: 4302350448 B, header 74120 B, 576 tensors, 0 B unclaimed
  shard model-00118-of-000163.safetensors: 4302384884 B, header 76012 B, 586 tensors, 0 B unclaimed
  shard model-00119-of-000163.safetensors: 4302350824 B, header 74496 B, 576 tensors, 0 B unclaimed
  shard model-00120-of-000163.safetensors: 4302384488 B, header 75616 B, 586 tensors, 0 B unclaimed
  shard model-00121-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00122-of-000163.safetensors: 1747417474 B, header 31098 B, 241 tensors, 0 B unclaimed
  shard model-00123-of-000163.safetensors: 4302317817 B, header 73745 B, 573 tensors, 0 B unclaimed
  shard model-00124-of-000163.safetensors: 4302384914 B, header 76042 B, 586 tensors, 0 B unclaimed
  shard model-00125-of-000163.safetensors: 4302350794 B, header 74466 B, 576 tensors, 0 B unclaimed
