repo moonshotai/Kimi-K3 @ 9f62e4e9fffbd0a83ddd60e1c209d828994b3569 (118 files)
  aux config.json (7006 B)
  aux generation_config.json (53 B)
  aux tokenizer_config.json (3478 B)
  aux preprocessor_config.json (1011 B)
  aux model.safetensors.index.json (59764096 B)
  shard model-00061-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00062-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00063-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00064-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00065-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00066-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00067-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00068-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00069-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00070-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00071-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00072-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00073-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00074-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00075-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00076-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00077-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00078-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00079-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00080-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00081-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00082-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00083-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00084-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00085-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00086-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00087-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00088-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00089-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00090-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00091-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00092-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
