rounds,extension,target_bits,initial_radius,old_open_tau_ceiling,new_attained_tau,challenge_bits,old_tau,old_tail_radius_1,old_q,old_all_gaps_hold,old_floor_bits,new_tau,new_tail_radius_1,new_q,new_all_gaps_hold,new_floor_bits,old_best_limit_query_lower_bound,old_optimal_attained_q,old_optimal_interior_tau,exact_optimal_queries_saved,optimal_fraction_saved,queries_saved,fraction_saved,saving_vs_best_old_limit_at_least
19,4,55,2/5,1/108,1/95,99.37963487185687,1/109,18/109,4137,True,55,1/95,18/95,3603,True,55,4099,4099,8191/884736,496,496/4099,534,178/1379,496
19,4,99,2/5,1/108,1/95,99.37963487185687,1/109,18/109,7605,True,99,1/95,18/95,6624,True,99,7535,7535,5461/589824,911,911/7535,981,109/845,911
19,4,100,2/5,1/108,1/95,99.37963487185687,1/109,18/109,,True,,1/95,18/95,,True,,,,,,,,,
19,6,120,2/5,1/108,1/95,161.1934160645071,1/109,18/109,9025,True,120,1/95,18/95,7861,True,120,8942,8942,32767/3538944,1081,1081/8942,1164,1164/9025,1081
19,6,137,2/5,1/108,1/95,161.1934160645071,1/109,18/109,10304,True,137,1/95,18/95,8974,True,137,10209,10209,5461/589824,1235,1235/10209,1330,95/736,1235
