representation,layers_required_by_feature_definition,actual_run_layers,n_for_count,private_public_linear_products,private_private_attention_products,private_gated_mlp_products,private_silu,private_rsqrt,private_softmax_vectors_length_n,pool_private_additions,pool_public_length_scalings,feature_dimension_with_bias,shared_float64_readout_bytes,routed_float64_readout_bytes,privacy_condition,status
last_30,30,30,27,2866544640,25194240,1244160,1244160,1647,7290,0,0,577,4616,9232,source tokens private => all listed prefix/pooling work private; public length/skill declared; entitled plaintext issuer may encode fixed features,DERIVED scalar counts; actual extraction runs all30blocks; no measured prefix speedup or protected encoder
mean_10,10,30,27,955514880,8398080,414720,414720,540,2430,14976,576,577,4616,9232,source tokens private => all listed prefix/pooling work private; public length/skill declared; entitled plaintext issuer may encode fixed features,DERIVED scalar counts; actual extraction runs all30blocks; no measured prefix speedup or protected encoder
mean_20,20,30,27,1911029760,16796160,829440,829440,1080,4860,14976,576,577,4616,9232,source tokens private => all listed prefix/pooling work private; public length/skill declared; entitled plaintext issuer may encode fixed features,DERIVED scalar counts; actual extraction runs all30blocks; no measured prefix speedup or protected encoder
mean_30,30,30,27,2866544640,25194240,1244160,1244160,1647,7290,14976,576,577,4616,9232,source tokens private => all listed prefix/pooling work private; public length/skill declared; entitled plaintext issuer may encode fixed features,DERIVED scalar counts; actual extraction runs all30blocks; no measured prefix speedup or protected encoder
