scope,operation,calls,seconds,mean_seconds
eight_intent,encode-query,960,9.582708880945574,0.00998198841765164
eight_intent,host-infer,6400,140.68230305722682,0.02198160985269169
eight_intent,host-learn,128,2.8083865447551943,0.021940519880899956
eight_intent,issuer-encrypt,128,2.619789077027235,0.020467102164275275
eight_intent,keygen,1,0.03671204100828618,0.03671204100828618
eight_intent,reader-decrypt,6400,120.56420849252027,0.018838157576956293
full77_integration,encode-query,77,0.9141520480043255,0.011872104519536695
full77_integration,host-infer,5929,142.21336226491258,0.023986062112483147
full77_integration,host-learn,1232,29.364117497752886,0.023834510955968252
full77_integration,issuer-encrypt,1232,26.836197498021647,0.021782627839303285
full77_integration,keygen,1,0.034209375036880374,0.034209375036880374
full77_integration,reader-decrypt,5929,105.15227584552485,0.017735246389867575
eight_intent_encoder,forward,448,3.7800901659647934,0.00843770126331427
full77_additional_encoder,forward,3864,36.3467970417114,0.009406520973527795
