'Minidregg.Selvage.ArityEight.Witnesses.root_primitive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.farWord_not_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.farWord_far' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.fold_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.fold_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.accepted_zero_seed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.rejected_one_seed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.sampled_bound_fires' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Selvage.ArityEight.Witnesses.bound_nontrivial' depends on axioms: [propext, Classical.choice, Quot.sound]
