kind,phase,chunks,proof_bytes,external_wall_seconds,external_user_seconds,external_system_seconds,maximum_resident_set_bytes,public_reconstruction_seconds,public_preprocessing_seconds,native_prove_seconds,native_verify_seconds,direct_mac_check_seconds,native_wall_seconds,native_public_fhe_import_seconds,result_path,result_sha256,time_log,time_log_sha256
update,produce,32,5721926,2.61,2.17,0.12,54018048,0.099383667,0.633067289,1.223582286,0.215570708,0.001217709,2.422339791,0.09019175,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/update-produced/proofs/result.json,e2a64fcedb7fbe978d8558c533050819357cee54404541ec1b35a701c145bb26,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/update-produce.stderr,8f6bff20df8b0a1de9d181043921c5092864b4a355cbfdbcb8e49fa323d1fc58
update,verify,32,5721926,1.2,1.06,0.07,52641792,0.08966875,0.665617336,0.0,0.236078623,0.0,1.056391625,0,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/update-verified/result.json,b7ad12851fabfe6fcc1c7cb19aeb41f9f4c5d428bb8a333bc91261cf049eaea1,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/update-verify.stderr,4c991b1f7bc3561c5c9b4dea38835b7ba72fdd632cfc5925a65f8f409be09421
linear,produce,352,64336438,45.05,30.94,1.83,186662912,0.337329375,12.518266632,25.435509212,3.174905719,0.010830583,44.375760958,0.3699835,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/linear-produced/proofs/result.json,e76ee172da901b05d5b11c86e5b7a1cfcbdb2d24ce2ee18fb20d226354e5f6f7,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/linear-produce.stderr,cd8a6683429ddb06aba16d7484527c145741c4ca2baf55aa372e525b8c629ae1
linear,verify,352,64336438,14.2,11.93,0.6,181125120,0.27192875,10.040035032,0.0,2.780262586,0.0,13.769790125,0,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/linear-verified/result.json,af2ba368203b3bc3fa2e90d0f31a3c30169769d072325f1edb7a636cc772bc54,/Users/ember/dev/zkml-research/research/vfhe_2026_09_08/matched_field/work/fifo-expiry-run001/linear-verify.stderr,5f8f24128a73530d0f516597291fed6a94bcabb2844175a135e0925943e5e3be
